title,company,location,salary,skills
AI Research Scientist,Systems Ltd,Lahore,280000,"Python, PyTorch, NLP, Scikit-learn, Research, Deep Learning"
Senior Data Architect,Afiniti,Karachi,350000,"SQL, Python, Statistics, Machine Learning, AWS, ETL, Big Data"
ML Engineer (Vision),Folio3,Karachi,140000,"Python, Computer Vision, OpenCV, Git, Django, PyTorch"
AI Web Developer,Aror Solutions,Sukkur,125000,"JavaScript, React, API, Python, Tailwind, Fastapi"
Cloud Security Expert,NetSol,Islamabad,310000,"AWS, Docker, Kubernetes, Linux, Python, CI/CD, Cyber Security"
Junior Data Analyst,Contour Software,Lahore,160000,"SQL, Excel, Python, PowerBI, Statistics, Tableau"
NLP Engineer,Aror Solutions,Sukkur,180000,"Python, NLP, Transformers, Huggingface, Spacy, ML"
Data Scientist,Jazz,Islamabad,250000,"Python, Machine Learning, Data Visualization, SQL, Pandas, Scikit-learn"
Prompt Engineer,TenPearls,Karachi,150000,"LLM, Prompt Engineering, OpenAI, GPT, Python, Communication"
Backend Developer,Systems Ltd,Lahore,200000,"Python, Django, PostgreSQL, REST APIs, Git, Docker"
GenAI Architect,Afiniti,Islamabad,450000,"Python, LLM, LangChain, Vector Databases, RAG, Cloud Computing"
Python Developer,Arbisoft,Lahore,170000,"Python, Flask, API, SQL, Docker"
Data Engineer,Careem,Karachi,280000,"Python, SQL, Airflow, Spark, AWS"
AI Product Manager,Systems Ltd,Islamabad,320000,"Product Management, Agile, AI, Communication, Strategy"
Machine Learning Intern,Folio3,Karachi,45000,"Python, Pandas, Scikit-learn, SQL"
Frontend Developer,Aror Solutions,Sukkur,110000,"HTML, CSS, JavaScript, Vue.js, Tailwind"
Full Stack Engineer,KeepTruckin,Lahore,250000,"JavaScript, Node.js, React, MongoDB, AWS"
BI Analyst,Daraz,Karachi,160000,"SQL, PowerBI, Tableau, Excel, Communication"
DevOps Engineer,NetSol,Lahore,220000,"Linux, Docker, Jenkins, Kubernetes, AWS"
Data Analyst,Zameen,Lahore,140000,"Python, SQL, Pandas, Excel, Tableau"
Research Assistant (AI),Aror University,Sukkur,50000,"Python, Research, NLP, Scikit-learn, PyTorch"
Computer Vision Engineer,TenPearls,Islamabad,190000,"Python, OpenCV, PyTorch, C++, Deep Learning"
Cloud Engineer,Jazz,Islamabad,210000,"AWS, Azure, Terraform, Linux, Networking"
Backend Engineer (Go),Afiniti,Karachi,260000,"Go, SQL, Docker, Microservices, Kubernetes"
AI Consultant,Systems Ltd,Lahore,350000,"AI Strategy, Machine Learning, Python, Consulting"
Software Engineer,Contour Software,Karachi,160000,"Java, Spring Boot, SQL, Git, Hibernate"
MLOps Engineer,Arbisoft,Lahore,270000,"Python, Docker, Kubernetes, CI/CD, Machine Learning"
Data Visualization Specialist,Daraz,Karachi,170000,"Tableau, PowerBI, D3.js, SQL, Excel"
Junior Python Developer,Folio3,Karachi,90000,"Python, Django, SQL, HTML, CSS"
Cyber Security Analyst,NetSol,Islamabad,180000,"Networking, Security, Python, Linux, SIEM"
